,osm_way_id,osm_start_node_id,osm_end_node_id
142639,230625734,42502046,42486627
142849,230625734,42502050,42486627
143004,514667906,2335015273,1167486551
143016,420873728,4207700493,595801158
143712,5705174,274325403,274325404
143714,622841176,449388516,449388143
144457,12373785,3661350823,42742178
145105,169383512,62915525,42453548
145354,505777317,42443570,42453548
146079,529265852,4203118669,42995856
146089,529265852,5141801815,42995856
146101,22927463,4142105812,4207143424
146835,5707092,42900200,42900197
146836,500452658,42476785,6212365420
147334,198924600,42843646,42843644
147672,220432925,3325564436,42843644
148025,224060056,42741825,5490609899
148217,224060056,42741828,5490609899
148387,420558132,42837595,4205063524
148707,420558137,42837600,4205063524
148859,196117041,42436619,42434895
149417,572394784,1348697630,1348697715
149712,572394784,1348697564,1348697715
150064,420568817,1348697958,1348697715
150535,420568821,1348698086,1348697715
150723,5712203,1955929607,42964467
150726,25165125,274313286,1397167817
151182,420564492,4205150902,4205150899
151495,183794572,1942054287,1942054331
152089,34452219,42494924,42494921
152184,46788738,42480566,42494921
152220,223947603,5488755724,5488755726
152224,222367199,2313404821,42769585
152923,420571077,4205222091,42769585
153547,175473426,1764748516,60915916
154244,122088820,595749116,60915916
154987,46432183,42423885,427804196
155400,46735698,1904847201,277136465
155540,25429052,3938728149,277136465
155662,46735698,3785177681,277136465
155820,222788169,42983360,42993751
155821,275118976,42914215,42859187
155823,439842817,42454391,1775270666
156565,183794596,1942053970,1942053965
156628,5676911,1372888780,42480476
156653,420805218,42519620,42480476
156820,5702407,42788748,42827463
156993,198924560,4396950891,42827463
156997,46817505,598035413,479715820
157740,90086382,274185980,3788517386
158033,39508662,3828033234,3828033239
158220,487516655,42768036,3828033239
158459,487516655,42755068,3828033239
159005,221570526,42512728,42511228
159677,420559513,4205083417,42511228
160314,420870187,5490542477,4207663981
160376,420870186,42965644,4207663981
160515,32947558,593215564,3785582163
161155,5698166,42760449,42760453
161289,5698449,42760928,42760453
161478,5698166,42760457,42760453
161622,46594835,42782585,596581571
162291,497259106,4970519941,4888459232
162823,5671811,42450460,4888459232
163174,168330904,5487860843,5487860868
163190,5700698,277031818,597363558
163822,581458830,5515778664,5515778666
163935,5696004,460417281,1344102799
164571,45209135,573884137,1344102799
164793,219579785,1411748363,42814720
164911,219579785,42814722,42814720
164942,5679366,42509494,42474539
164956,183794557,42474543,42474539
164958,583510922,1942054139,42474539
164990,183794557,42474536,42474539
165014,219973678,42859768,42814476
165156,219973678,42872356,42814476
165390,221596661,42508545,42492725
165391,221444644,42492731,42492725
165394,221596661,42506148,42492725
165399,221444644,2870454428,42492725
165417,420627374,4205909310,4205909311
165593,46577953,42452130,595352904
165675,195743145,42428961,595352904
166283,226933464,452394398,452392947
167027,38316068,452386140,452392947
167423,46525065,42450341,42445039
167919,420892267,4207837428,42445039
168661,38096500,43012049,42973420
168664,5712798,42973418,42973420
168666,38096500,42976628,42973420
168673,274893084,42876507,2930304609
169298,226504872,42868218,2930304609
169494,276332100,42822748,42848057
169501,219610171,42821920,42821917
170069,534164486,248606828,42461394
170703,39015290,219780613,42461394
171234,555838676,42765426,42765431
171559,555838676,42765434,42765431
171677,46786509,597826138,597826136
171950,46786498,597826135,597826136
171987,222268292,42508988,42508991
171989,220432921,42815242,42812256
171990,220432921,42812204,42812256
172022,497396234,1259822865,4888431956
172362,196116976,42428308,42428307
172709,46443656,42432585,42428307
173341,686369799,5490151687,5490166663
173347,686369798,447764059,5490166663
173363,5695615,42720071,42720075
173440,5695615,42720079,42720075
173441,46693907,42448979,42446182
173564,68668534,42446177,42446182
174305,222788130,5490267877,42999430
174308,5714787,60650389,43002041
174331,5678929,42488343,598035424
174525,420355187,4202944850,4202944851
174644,275036986,42930313,2876537913
174646,420526338,42439236,42428471
174774,464522037,42428473,42428471
175518,46889366,42513547,42474503
175626,221445670,42474500,42474503
175788,38774200,42733799,5481864196
176039,169383518,42426851,42450814
176783,628093103,1577501048,42450814
177476,496977101,42445617,42440785
177593,560788343,5407894891,42440785
177913,46154291,42440679,42440785
178089,222367199,2313404821,4205222092
178676,420571081,5487736140,4205222092
179374,276145171,42511273,42525719
179380,572429753,5499452076,5499452075
179384,617084574,4686822856,42482398
180124,46818900,2089937767,42482398
180863,46116390,4602410644,4602410642
180864,420522443,42432199,42432201
181189,480112479,42430824,42432201
181216,525033953,42430828,42432201
181671,221690295,42484436,42499325
181836,5678459,42499323,42499325
182125,5678459,42499329,42499325
182183,25167462,274342021,42430945
182602,420351469,4202895715,42489166
182872,221569414,42528320,42489166
183241,551986396,42500731,42489166
183327,420351468,4202895717,42489166
183723,538786469,5214547509,5214547513
184437,587061848,529280909,5214547513
184492,183794634,42496296,42496299
184565,183794634,42496304,42496299
184581,5678878,5482702474,42496299
184582,5705925,5591863336,5123193552
184981,46769777,42809541,597688969
185034,32067984,5490131318,43018987
185035,223244301,42495112,42488365
185158,223244301,42514631,42488365
185472,5677581,42470942,42488365
185481,627307792,42878059,42922026
185526,627307792,42858619,42922026
185553,586174695,42819552,42829243
185665,586174695,5118579386,42829243
185672,91600906,5357878477,42835633
185677,484440048,4927626514,42835633
185737,484440048,42835637,42835633
185935,40418152,42471894,42471890
185943,275118976,42914212,4880517272
185945,460779250,42536224,42536220
186656,5710128,5482577681,42536220
186830,409299726,42968897,42968662
187079,463572297,4207090356,42968662
187354,353220071,3589888044,42434169
187542,353220115,42447166,42434169
188225,5715113,43004887,43005083
188288,246241766,2533031558,43005083
188318,420907046,4207962274,4207779536
188985,221595204,42460233,5488527338
189002,221595204,42460232,5488527338
189004,376092534,42875681,42895905
189011,239492647,2472695920,2472695922
189317,183103126,42946334,5490136219
189403,5704425,42860961,42860963
189407,5710387,42863056,42860963
189423,5704425,42855519,42860963
189429,5678719,42502118,42477646
189466,5678719,2513522352,42477646
189504,489437292,42473262,42473266
189987,5677430,42466971,42473266
190012,38796482,42719731,42719725
190058,38796482,42719720,42719725
190065,5699744,42769335,42719725
190066,421842732,42463817,42479555
190569,46868310,4204922932,42479555
191123,5704946,5436369650,5436369685
191136,5702643,5436352435,5436369685
191153,620215076,2282434940,2282434945
191169,275355362,42478913,42478915
191174,409299726,42968893,42968890
191449,409299726,5490284713,42968890
191683,682817924,5391643302,1961317614
191833,586133605,42732909,4207863952
192427,420904918,274186775,42824971
193070,38939986,462767491,462767497
193813,343386660,42501964,42501968
193837,221569419,42501969,42501968
193988,584971527,5590991390,373772209
194688,219973372,274302947,274302948
194701,216933157,5488701115,42912515
194723,216933157,42912516,42912515
194787,5709181,42811941,42870202
194789,226881013,42852621,42851068
194798,226881013,42832319,42851068
194853,5710899,447832827,42945838
194900,420314458,4202528501,42945838
194910,379499850,42508275,42525243
194934,379499850,42501366,42525243
194959,5710590,42880466,42910303
194976,125905982,42837780,42829166
195366,183103683,5488352184,42829166
196090,125905982,1397132097,42829166
196364,5699508,2829127625,42742392
196416,5697104,42731628,42742392
196466,5698564,42767100,42742392
196529,141119733,42720175,1580125492
196808,621551218,42720163,1580125492
197181,198924785,42834133,42786540
197323,198924785,5682047465,42786540
197399,124814435,42430529,42429833
197906,5669866,42429832,42429833
198091,690544940,42476084,42471201
198793,524340776,42471197,42471201
198794,46139813,279224450,279224199
198836,460779250,42516810,42522470
199409,276029855,42496784,42522470
199420,5678306,42497498,42494081
199460,5678306,42497502,42494081
199481,428996127,42994860,42996842
199502,428996127,42948988,42996842
199513,449340724,4463110026,480212188
199753,464169409,4593135559,480212188
200342,627314981,42925606,42870972
200368,627314981,42927815,42870972
200468,458166897,42432451,42449945
201212,420356169,4011390051,42449945
201947,420356168,4202958490,42449945
202690,620215074,2282434866,42519775
202718,68668540,42430607,42437693
203186,396444295,42427821,42437693
203929,5696588,42734607,42734603
203934,5696588,42734599,42734603
203939,5697376,42746694,42734603
203940,379500306,42477725,42509571
203965,379500306,42512348,42509571
203984,689027339,42488626,42509571
204091,689027339,42501645,42509571
204498,173223905,42819380,1840722937
204502,182690763,6212652921,5332322029
204606,223484980,42743205,42743238
204847,223484980,42743242,42743238
205061,11876220,42752335,4606079739
205604,517341236,1260335264,42474892
206013,221583273,42474839,42474892
206757,220591218,42893629,42929117
206764,220591218,42832689,42929117
206771,46906330,42514144,5487821243
206772,658513454,4572268676,448081085
207462,374480772,2300199432,2300199427
207463,25166261,274325029,274328823
207766,25173911,274423135,274328823
207768,222258271,598050852,4785684318
208318,223484980,42743238,42743205
208486,586133603,42719635,42743205
208770,275274048,42972069,42966830
208794,275274048,42983979,42966830
